R�d ,Barbaresco Monstestefano,Produttori del Barbaresco,2011,Italia,Piemonte  Barbaresco,449,Lagring,Feb-16,Nebbiolo,
R�d ,Ch. Cantemerle 2012,Chateau Cantermerle,2012,Frankrike,Bordeaux  Haut-Médoc,359,Lagring,Jan-17,Cabernet Franc 2%  Cabernet Sauvignon 56%  Merlot 36%  Petit Verdot 6%,1946201
R�d ,Ch. Cantemerle 2012,Chateau Cantermerle,2012,Frankrike,Bordeaux  Haut-Médoc,359,Lagring,Jan-17,Cabernet Franc 2%  Cabernet Sauvignon 56%  Merlot 36%  Petit Verdot 6%,1946201
R�d ,Ch. Cantemerle 2012,Chateau Cantermerle,2012,Frankrike,Bordeaux  Haut-Médoc,359,Lagring,Jan-17,Cabernet Franc 2%  Cabernet Sauvignon 56%  Merlot 36%  Petit Verdot 6%,1946201
Hvit,Gunderloch Nackenheim Rothenberg Riesling GG,Gunderloch,2012,Tyskland,Rheinhessen,299,Lagring,Feb-17,Riesling,515801
Hvit,Gunderloch Nackenheim Rothenberg Riesling GG,Gunderloch,2012,Tyskland,Rheinhessen,299,Lagring,Feb-17,Riesling,515801
Hvit,Gunderloch Nackenheim Rothenberg Riesling GG,Gunderloch,2012,Tyskland,Rheinhessen,299,Lagring,Feb-17,Riesling,515801
Muserende,Pol Roger 2008 Vintage Brut,Pol Roger,2008,Frankrike,Champagne,489,Lagring,Mar-17,Pinot Noir 60%  Chardonnay 40%,256101
Muserende,Pol Roger 2008 Vintage Brut,Pol Roger,2008,Frankrike,Champagne,489,Lagring,Mar-17,Pinot Noir 60%  Chardonnay 40%,256101
Muserende,Pol Roger 2008 Vintage Brut,Pol Roger,2008,Frankrike,Champagne,489,Lagring,Mar-17,Pinot Noir 60%  Chardonnay 40%,256101
Muserende,Pol Roger 2008 Vintage Brut,Pol Roger,2008,Frankrike,Champagne,489,Lagring,Mar-17,Pinot Noir 60%  Chardonnay 40%,256101
Hvit,Carmes de Rieussec  Sauternes,Chateau Rieussec,2014,Frankrike,Bordeaux  Sauternes,250,,Mar-16,Sauvignon blanc  semilion,
Hvit,Laroche Chablis,Michel Laroche,2014,Frankrike,Burgund  chablis,170,,May-16,Chardonnay,668001
R�d ,Chateau Coutet,Ch. Coutet,2011,Frankrike,Bordeaux  St. Emilion,249,,Sep-16,Merlot (60%)  Cabernet franc (30%)  Cabernet Sauvignon (5%)  Malbec (5%),5168501
Hvit,Markus Molitor Riesling Trocken,Weing. Markus Molitor,2014,Tyskland,Mosel,156,,Nov-16,Riesling,4470501
R�d ,Travaglini Gattinara,Giancarlo Travaglini,2011,Italia,Piemonte,209,,Dec-16,Nebbiolo,4766401
Muserende,Moët & Chandon Impérial Brut,Moet & Chandon,,Frankrike,Champagne,399,,Jan-17,Pinot Meunier  Pinot Noir  Chardonnay,89501
R�d ,Coto de Imaz Reserva,El Coto de Rioja,2010,Spania,Rioja,164,,Jan-17,Tempranillo 100%,631301
R�d ,Tommasi Valpolicella Classico Superiore Ripasso,Tommasi,2014,Italia,Veneto  Valpolicella,200,,Jan-17,Molinara 10%  Rondinella 20%  Corvina 70%,4176601
R�d ,Masi nectar campofiorin,Masi agr,2012,Italia,Veneto,200,,Jan-17,Rondinella 25%  Corvina 70%  Molinara 5%,
Hvit,Le G,Chateau guiraud,2014,Frankrike,Bordeaux,185,,Jan-17,Sémillon 50%  Sauvignon Blanc 50%,9773901
Hvit,Markus M Zeltinger Sonnenuhr Riesling Spätlese,Markus Molitor,2015,Tyskland,Mosel,219,,Mar-17,Riesling,7265401
Hvit,Markus M Zeltinger Sonnenuhr Riesling Spätlese,Markus Molitor,2015,Tyskland,Mosel,219,,Mar-17,Riesling,7265401
Hvit,Markus M Ürziger Würzgarten Riesling Spätlese Tørr,Markus Molitor,2015,Tyskland,Mosel,219,,Mar-17,Riesling,7267201
Hvit,Markus M Ürziger Würzgarten Riesling Spätlese Tørr,Markus Molitor,2015,Tyskland,Mosel,219,,Mar-17,Riesling,7267201
R�d ,Jean-Paul Brun Beaujolais L´Ancien 2015,Jean-Paul Brun,2015,Frankrike,Burgund  Beaujolais,179,,Mar-17,Gamay 100%,5077101
R�d ,Jean-Paul Brun Beaujolais L´Ancien 2015,Jean-Paul Brun,2015,Frankrike,Burgund  Beaujolais,179,,Mar-17,Gamay 100%,5077101
R�d ,Guigal Crozes Hermitage,E. Guigal,2012,Frankrike,Nord Rohne,232,,Apr-17,Syrah,4582301
R�d ,Guigal Crozes Hermitage,E. Guigal,2012,Frankrike,Nord Rohne,232,,Apr-17,Syrah,4582301
R�d ,Guigal Crozes Hermitage,E. Guigal,2012,Frankrike,Nord Rohne,232,,Apr-17,Syrah,4582301
R�d ,Orache,Bod. Alodia,2014,Spania,Somontano,109,,Apr-17,Moristel (30%)  Syrah (70%),2034101
R�d ,Orache,Bod. Alodia,2014,Spania,Somontano,109,,Apr-17,Moristel (30%)  Syrah (70%),2034101
Muserende,Delorme Cremant de Bourgogne Blanc de Noirs Brut,Andre Delorme,2015,Frankrike,Burgund,169,,Apr-17,Pinot Noir 100%,9099801
Rose,Dom. de Sulauze Pomponette Rosé,Dom. de Sulauze,2016,Frankrikr,Provence,163,,Apr-17,Syrah 10%  Vermentino 10%  Grenache 60%  Mourvèdre 5%  Cinsault 15%,496601
Rose,Dom. de Sulauze Pomponette Rosé,Dom. de Sulauze,2016,Frankrikr,Provence,163,,Apr-17,Syrah 10%  Vermentino 10%  Grenache 60%  Mourvèdre 5%  Cinsault 15%,496601
R�d ,Cline Sonoma Coast Pinot Noir,Cline,2014,USA,California,159,,Apr-17,Pinot Noir,3569501
Hvit,Trimbach Gewurztraminer,F.E. Trimbach,2014,Frankrike,Alsace,184,,Apr-17,Gewürztraminer 100%,789301
Muserende,Innocent Bystander Victoria Moscato,Innocent Bystander,2016,Australia,Victoria,139,,Apr-17,Moscato 100%,117901
